순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
11,9788936429430,144164150,별에게,16800,15120,840,안녕달 글그림,창비,"“네가 와서 집이 참 환해졌지. 우리한테 와 줘서 고마워.”
내 곁을 밝혀 준 소중한 존재에게 

독보적인 상상력과 따뜻한 감성으로 사랑받아 온 안녕달 작가의 창작 10주년을 빛내는 그림책 『별에게』가 출간되었다. 첫 창작 그림책 『수박 수영장』 이후, 아이들이 마음껏 놀고 기대어 쉴 수 있는 세계를 그리며 독자의 신뢰를 쌓아 온 작가가 선보이는 열두 번째 작품이다.

하굣길, 아이는 학교 앞에서 작은 ‘별’을 가져온 할머니를 만난다. 별을 조심스레 집으로 데려온 아이는 “달빛을 받아야 잘 자란다”라는 엄마의 말에 따라 매일 밤 별을 데리고 산책을 하며 정성껏 돌본다. 별은 아이가 성장해 독립한 후에도 귤을 따고 낚시를 하는 엄마의 곁을 든든하게 지킨다. 그사이 별은 점점 커지고, 마침내 떠올라 하늘을 향할 준비를 한다.

예전 학교 앞에서 팔리던 병아리를 떠올리게 하는 ‘별’은, 우리가 그리워하는 모든 것을 상징하는 이름이다.",10.0,469
12,9791138928113,140199250,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",16500,14850,820,최태성 저,이투스북 ,"오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다. 또한, 한능검 기출문제를 모두 분석한 후, 기출 선택지를 이용한 별 채우기 문제를 수록하여 자연스럽게 기출 선택지가 기억될 수 있도록 하였고, 반복적으로 출제되는 주제의 최신 기출문제를 꼼꼼하고 친절한 해설과 함께 담아 실전에 대비할 수 있도록 하였다. 여기에 한국사 연표와 지역의 역사를 담은 지도를 통해 한국사 흐름잡기가 더욱 쉬울 것이다.

※ 제시된 이미지는 책의 뒷표지입니다.",10.0,380
13,9791138928120,140199263,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",16000,14400,800,최태성 저,이투스북 ,"오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다. 또한, 한능검 기출문제를 모두 분석한 후, 기출 선택지를 이용한 별 채우기 문제를 수록하여 자연스럽게 기출 선택지가 기억될 수 있도록 하였고, 반복적으로 출제되는 주제의 최신 기출문제를 꼼꼼하고 친절한 해설과 함께 담아 실전에 대비할 수 있도록 하였다. 여기에 한국사 연표와 지역의 역사를 담은 지도를 통해 한국사 흐름잡기가 더욱 쉬울 것이다.

※ 제시된 이미지는 책의 뒷표지입니다.",10.0,380
14,9791194033585,143494860,성적 초격차를 만드는 독서력 수업,19800,17820,990,김수미 저,빅피시,"중·고등에서 조용히 성적을 역전시키는 
아이는 무엇이 다를까?

문제 푸는 요령만 가르칠 듯한 대치동에서 ‘책 읽기’라는 한 우물을 30년 가까이 파온 사람이 있다. 재원생 5,000명, 대기생 1만 5,000명을 자랑하는 독서 논술 학원 ‘논술화랑’을 이끄는 김수미 대표다. 26년간 수만 명의 아이를 가르쳐온 그는 유·초등 시기에 논술화랑에서 독서력을 차근차근 쌓은 아이들이 중·고등학교에 진학해 성적을 급상승시키는 것을 수없이 지켜봐 왔다. 그 결과 처음에는 크게 주목하지 않던 이들 사이에 논술화랑의 교육법에 대한 신뢰가 차츰 형성되었고, 입소문만으로 명실상부한 대치동의 명문으로 자리매김했다. 

연간 1만 명 이상이 논술화랑 교육 설명회에 참석할 만큼, 많은 부모들이 화랑의 교육 방식에 주목하고 그 비결을 궁금해한다.",10.0,408
15,9791168342682,142805048,그릿 GRIT,18800,16920,940,김주환 저,인플루엔셜,"인간 성취력의 비밀을 밝혀 독자들에게 사랑받은 김주환 교수의 《그릿》이 12년 만에 전면개정판으로 독자들을 찾아왔다. 《회복탄력성》 출간 이후 현실에서 실천적인 해법을 담은 도서를 고민하던 저자는 시험을 앞둔 학생부터 치열한 경쟁 속에 사는 직장인까지, 목표한 바를 성취하는 것이 모두의 바람이라는 판단 아래 ‘성취력을 높이는 비법’, 즉 ‘그릿(GRIT)’이라는 개념을 최초로 제시하며 2013년 초판을 출간했다. 이번 전면개정판에서 저자는 뇌과학에 기반한 저자의 최신 연구 성과를 접목해 그릿 개념을 재정립했다. 그릿(GRIT)은 “Growing through Relatedness + Intrinsic motivation + Tenacity”로 자기조절력(Tenacity), 대인관계력(Relatedness), 자기동기력(Intrinsic motivation) 이 세 가지 마음근력을 통해 아이가 잘 성장하도록(Growing) 도와주자는 뜻이다.",10.0,476
16,9791171711673,125557465,하루 한 장 나의 어휘력을 위한 필사 노트,23800,21420,1190,유선경 저,위즈덤하우스,"“오늘부터 하루 한 장, 나의 어휘력을 위한 필사를 시작합니다”
- 20만 독자가 선택한 필사 열풍 화제의 도서!
필사 노트의 대명사 ‘컴포지션 에디션’ 출간 

출간 즉시 인문 분야 베스트셀러에 오르며, 필사 열풍을 몰고 온 『하루 한 장 나의 어휘력을 위한 필사 노트』가 컴포지션 에디션으로 새롭게 독자들과 만난다. 그동안 필사를 어렵게만 생각했던 독자들은 이 책을 통해 필사를 경험하며 스마트폰을 내려놓고 손에 펜을 쥐게 한 ‘인생 책’이라는 극찬을 아끼지 않았다. 동서고금을 아우르는 양질의 도서 추천은 물론이고, 필사의 효용을 두루 짚어내며 어휘력을 늘리기 위한 필사 가이드까지 알차게 담겨 있어 이제 막 필사를 시작하는 입문자들의 뜨거운 호응을 받았다. 필사 노트의 대명사인 컴포지션 스튜디오와의 협업을 통해 선보이는 이번 ‘컴포지션 에디션’은 필사의 아날로그 감성과 디테일을 더하며 더욱 소장 가치를 높였다.",10.0,459
17,9791173320927,143582008,별별 직업 상담소,15800,14220,790,요시타케 신스케 글그림/권남희 역,주니어김영사,"‘일은 왜 해야 하는 걸까? 직업은 어떻게 골라야 할까? 하고 싶은 일이 없다면?’
요시타케 신스케와 함께 탐구하는 깊고 넓은 직업의 세계!
언젠가 일을 할 어린이, 언제나 일을 하면서도 고민이 많을 어른들에게 실마리를 쥐여 주는 책

어느 날 지구에 외계인이 불시착했다! 지구에 정착해서 살아가기 위해선 ‘직업’을 구해야 한단 생각에 외계인은 ‘별별 직업 상담소’에 찾아와, 세상 속 별별 특이한 직업들을 소개받으며 일과 직업의 세계를 탐구한다. 이 책은 요시타케 신스케 특유의 통찰력으로 일의 본질을 콕 찌르는 대사들이 나온다. 인간은 왜 일을 하며 살아가는지, 어떤 직업을 고르는 게 좋은지, 하고 싶은 일이 많거나 하고 싶은 일이 없다면 어떻게 해야 하는지 등등. 처음 지구에서 일을 구하려는 외계인과 궁금증을 하나하나씩 풀다 보면 내가 어떤 일을 하며 살아가고 싶은지 실마리를 찾을 수 있다.",10.0,448
18,9791194330424,134602629,넥서스,27800,25020,1390,유발 하라리 저/김명주 역,김영사,"◆ 『사피엔스』 『호모 데우스』 유발 하라리 6년 만의 신작

◆ 출간 즉시 〈뉴욕타임스〉 〈선데이타임스〉 아마존 베스트셀러



비인간 지능의 위협과 우리의 미래에 대한 경고

“AI는 우리 종의 역사뿐만 아니라

모든 생명체의 진화 경로를 바꿀지도 모른다.” 



글로벌 베스트셀러 『사피엔스』 『호모 데우스』 『21세기를 위한 21가지 제언』으로 우리 시대 가장 중요한 사상가의 반열에 오른 유발 하라리 교수가 압도적 통찰로 AI 혁명의 의미와 본질을 꿰뚫어 보고 인류에게 남은 기회를 냉철하게 성찰하는 신작으로 돌아왔다.",10.0,296
19,9788936425166,144548461,마중도 배웅도 없이,12000,10800,600,박준 저,창비,"“시간은 우리를 어디에 흘리고 온 것일까”

모두의 기다림에 응답하는 박준이라는 따뜻함
이번에도 슬픔은 아름답고, 위로는 깊습니다

『당신의 이름을 지어다가 며칠은 먹었다』(문학동네 2012)와 『우리가 함께 장마를 볼 수도 있겠습니다』(문학과지성사 2018)로 한국시 독자의 외연을 폭넓게 확장하며 독보적인 존재감을 보여준 박준의 세번째 시집 『마중도 배웅도 없이』가 출간되었다. 시인은 일상의 소박한 순간을 투명한 언어로 포착하는 특유의 서정성으로 신동엽문학상, 박재삼문학상, 편운문학상, 오늘의 젊은 예술가상 등을 잇달아 수상하며 문학성 또한 공고하게 입증해왔다. 7년 만에 선보이는 이번 시집은 그리움과 상실마저 아릿한 아름다움으로 그려내는 미덕을 고스란히 계승하면서도, 한층 깊어진 성찰과 더욱 섬세해진 시어로 전작들을 뛰어넘는 완성도를 보여준다. 특히 살면서 놓쳐버린 것들, 어느새 잊힌 것들의 빈자리를 어루만지는 손길이 시대와 개인 모두와 조응하며 남다른 공감을 선사한다.",10.0,495
20,9791168342750,143655313,내면소통 명상수업,28000,25200,1400,김주환 저,인플루엔셜,"“이 책을 펴는 순간, 온전한 행복이 시작된다.
몸과 마음의 건강을 위한 구체적인 지침서!” 
내 안의 불안과 분노를 잠재우고 성취역량을 끌어올리는 과학적인 명상 실천법

★ 15만 독자가 열광한 『내면소통』 실천법 
★ 유튜브 누적조회수 3000만 뷰 돌파 
★ 100일 플랜 별책부록 『내면소통 명상일지』 증정

이 책은 2023년 『내면소통』 출간 이후 더 구체적인 내면소통 실천법을 알고 싶다는 독자들의 요청에 따라, 일상에서 손쉽게 마음근력을 향상시키는 방법을 담은 명상 가이드북이다. 『내면소통』이 최신 뇌과학을 기반으로 ‘명상을 통한 마음근력 훈련’의 원리를 소개한 학술적인 책이었다면, 『내면소통 명상 수업』은 마음근력을 키우려면 어떤 명상을 어떤 방식으로 수행해야 하는지를 구체적으로 제시해주는 실용적인 책이라 할 수 있다.",10.0,414
21,9791194530107,142605459,환율의 대전환,27000,24300,1350,오건영 저,포레스트북스,"“주식도 부동산도 불안한 지금,
부자들은 왜 달러, 엔, 금에 주목하는가”

달러, 엔, 금의 메가 트렌드와 현명한 투자 방법을 담은 한 권의 책

*** 50만 독자가 열광한 『부의 대이동』, 『위기의 역사』 저자의 최신작
*** tvN 〈유퀴즈〉, CBS 〈세바시〉 출연 화제의 인물
*** 뉴스를 보는 눈이 트이는 특별부록 「오건영의 시크릿 경제 클래스」 수록

세계 경제를 둘러싼 금리라는 환경의 체질이 바뀌고 있다. 이런 상황 속에서 달러, 엔, 금 같은 주요 통화는 어떤 흐름을 이어가게 될까. 지금까지의 패턴을 그대로 유지할지, 아니면 그동안은 보지 못했던 큰 변화가 벌어질지 단언할 수 없는 지금이다. 이에 대한민국 최고의 거시경제전문가 오건영 저자는 이번 신간을 통해 지금의 흐릿한 경제 상황을 제대로 바라볼 수 있는 인사이트를 전한다.",10.0,421
22,9788936439743,143911524,혼모노,18000,16200,900,성해나 저,창비,"“‘몰입’의 파티다. 영화로 만들고 싶은 작품들로 가득하다.” -배우 박정민

‘2024 한국문학의 미래가 될 젊은 작가’ 1위 선정!
지금 가장 생생하고 뜨거운 이름,
성해나라는 강렬한 세계

2024·2025 젊은작가상, 2024 이효석문학상 우수작품상 수상작 수록

작품마다 치밀한 취재와 정교한 구성을 바탕으로 한 개성적인 캐릭터와 강렬하고도 서늘한 서사로 평단과 독자의 주목을 고루 받으며 새로운 세대의 리얼리즘을 열어가고 있다 평가받는 작가 성해나가 두번째 소설집 『혼모노』를 선보인다. 성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 온라인 서점 예스24가 선정한 ‘2024 한국문학의 미래가 될 젊은 작가’ 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다.",10.0,433
23,9788937473401,116586303,급류,14000,12600,700,정대건 저,민음사,"2020년 《한경신춘문예》에 장편소설 『GV 빌런 고태경』이 당선되어 작품 활동을 시작한 소설가 정대건의 두 번째 장편소설 『급류』가 오늘의 젊은 작가 시리즈 40번으로 출간되었다. 『급류』는 저수지와 계곡이 유명한 지방도시 ‘진평’을 배경으로, 열일곱 살 동갑내기인 ‘도담’과 ‘해솔’의 만남과 사랑을 그린 소설이다. 

아빠와 함께 수영을 하러 갔던 도담이 한눈에 인상적인 남자아이 ‘해솔’이 물에 빠질 뻔한 것을 구하러 뛰어들며 둘의 인연은 시작된다. 운명적이고 낭만적으로 보이는 첫 만남 이후 둘은 모든 걸 이야기하고 비밀 없는 사이가 되지만, 그 첫사랑이 잔잔한 물처럼 평탄하지만은 않다. 모르는 사이에 디뎌 빠져나올 수 없이 빨려드는 와류처럼 둘의 관계는 우연한 사건으로 다른 국면을 맞이한다.",10.0,394
24,9788917239508,124043812,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,19800,17820,990,ETS 저,YBM(와이비엠),"출제기관 ETS 토익 정기시험 기출문제 10회 최신판 Vol.4 독점공개!

시험에 출제된 기출문제 그대로, 빠르고 확실하게 대비하라!



1. 실제 기출문제 전격 공개!

이 책에는 정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 최신 기출문제로 실전 감각을 키워 시험에 확실하게 대비하자!



2. 고난도 문항 무료 동영상 강의!

교재 내 QR코드는 해당 회차의 무료 동영상 강의로 연결된다. 오답률 높은 고난도 문항을 친절한 해설 강의와 함께 완벽 마스터하자!



3. 기출 포인트를 꿰뚫는 해설! 

최신 출제경향을 가장 정확하게 알 수 있는 기출문제를 풀고 출제 포인트가 보이는 명쾌한 해설로 토익을 정복해 보자!



4 ETS가 제공하는 표준 점수환산표

출제기관 ETS의 최신 표준 점수환산표를 제공한다.",10.0,414
25,9788917239492,124043802,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,19800,17820,990,ETS 저,YBM(와이비엠),"출제기관 ETS 토익 정기시험 기출문제 10회 최신판 Vol.4 독점공개!

시험에 출제된 기출문제와 정기시험 성우 음성 그대로, 빠르고 확실하게 대비하라!



1. 실제 기출문제 전격 공개!

이 책에는 정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 기출문제로 실전 감각을 키워 시험에 확실하게 대비하자!



2. 실제 정기시험 성우 음성으로 실전 대비!

이 책에 수록된 10세트의 LC 음원은 모두 정기시험 성우의 음원이다. 시험장에서 듣게 될 음성으로 공부하면 까다로운 영국식, 호주식 발음도 걱정 없다. 또한 강도 높은 학습을 위해 고속 버전과 소음 버전을 추가로 제공하며, YBM북스닷컴 출판 홈페이지 www.ybmbooks.com에서 무료로 다운로드 가능하다.



3 고난도 문항 무료 동영상 강의!

교재 내 QR코드는 해당 회차의 무료 동영상 강의로 연결된다.",10.0,446
26,9791193674208,143912095,커서 AI 트렌드&활용백과,25000,22500,1250,서승완 저,스마트북스,"커서 AI가 열어가는 새로운 일의 미래, 
창의적 게으름을 추구하는 분들께

마이크로소프트의 창업자 빌 게이츠는 “어려운 일을 시킬 때는 게으른 사람에게 맡긴다. 그들이 더 쉬운 해결책을 찾아내기 때문이다.”라고 말한 바 있다. 물론 여기서 말하는 ‘게으름’은 단순히 일을 회피하거나, 무기력하게 시간을 보내는 것을 얘기하지는 않을 것이다. 비효율적인 과정을 개선하고, 불필요한 노력을 줄이며, 더 나은 방법을 찾아내려는 사고방식이다. 저자는 이것을 ‘창의적 게으름’이라 한다. 빌 게이츠의 말처럼, 게으른 사람이 더 쉬운 해결책을 찾아낸다면, 커서 AI는 그 해결책을 실현해 주는 마법 같은 도구이다. 매일 반복되는 업무의 지루한 과정을 해결해 주고, 반짝이는 아이디어를 실현해 줄 수 있기 때문이다. 

『커서 AI_트렌드&활용백과』는 커서 AI라는 혁신적 도구를 통해 개인과 조직이 어떻게 미래를 준비할 수 있는지 그 청사진을 제시한다.",10.0,471
27,9791139716146,138282792,행동하지 않으면 인생은 바뀌지 않는다,16900,15210,840,브라이언 트레이시 저/정지현 역,현대지성,"시급 300원 잡초 제거 알바에서 회당 8억 원을 받는 전설이 되기까지 
브라이언 트레이시가 몸소 증명해낸 단 하나의 성공 메커니즘

“이 책을 읽는 것만으로도 당신의 인생은 이미 바뀌기 시작했다!” --- 『웰씽킹』 켈리 최

“지금 당장 행동할 용기를 준다” --- 주언규PD

당신은 오늘도 ‘갓생’을 외치지만 3일을 버티지 못한다. 매일 밤 동기부여 영상을 보며 감동하지만 아침이면 무너진다. 수많은 자기계발서를 읽었지만 인생은 제자리걸음이다. 왜일까? 40년간 워런 버핏, 앤디 그로브와 같은 세계적 대가를 해부해온 브라이언 트레이시가 마침내 진실을 공개한다. 성공한 사람들은 결코 동기부여에 의존하지 않는다는 것. 그들에겐 단 하나의 공통점이 있었다. 바로 ‘아주 작은 행동의 누적’이다.어제보다 1% 더 나아진 행동이 무기력을 쾌감으로 바꾸고 잠자던 성장 본능을 깨우며 마침내 당신을 성공으로 이끈다. 당신의 출신과 환경은 중요하지 않다.",10.0,476
